job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00046,AI Research Scientist,174663,SE,CT,United States,M,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,1151,5,DeepTech Ventures
AI00047,AI Research Scientist,46753,EN,CT,India,S,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,2012,9,Quantum Computing Inc
AI00048,AI Software Engineer,69020,MI,FL,China,L,China,0,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,1584,8,TechCorp Inc
AI00049,AI Specialist,288815,EX,PT,Switzerland,S,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,1930,7,Cognitive Computing
AI00050,AI Consultant,124871,EX,FL,Austria,M,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,1556,8,Autonomous Tech
AI00051,AI Architect,70391,MI,FT,Germany,S,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,1974,9,TechCorp Inc
AI00052,Research Scientist,115376,EX,FT,India,M,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,2028,5,Autonomous Tech
AI00053,Research Scientist,106579,MI,PT,United States,S,United States,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024-05-02,2028,5,Cognitive Computing
AI00054,Data Scientist,135230,SE,PT,Norway,S,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,1219,7,DataVision Ltd
AI00055,Research Scientist,67607,MI,PT,Israel,S,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,1714,8,Quantum Computing Inc
AI00056,AI Architect,88470,MI,PT,Canada,L,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,1528,9,Autonomous Tech
AI00057,Autonomous Systems Engineer,79863,MI,FL,India,L,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,1325,5,Autonomous Tech
AI00058,Machine Learning Engineer,60299,EN,PT,Israel,L,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025-05-01,1872,6,Advanced Robotics
AI00059,Machine Learning Engineer,85645,MI,FT,Germany,M,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,793,7,AI Innovations
AI00060,AI Software Engineer,110222,SE,FL,United Kingdom,S,France,0,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,1945,9,TechCorp Inc
AI00061,Data Scientist,49365,EN,FT,China,M,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,1907,10,Predictive Systems
AI00062,Data Scientist,162296,SE,PT,Norway,S,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,1714,6,Neural Networks Co
AI00063,AI Consultant,102382,MI,PT,Switzerland,M,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,2199,5,Smart Analytics
AI00064,AI Software Engineer,99972,MI,PT,Australia,M,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024-03-15,799,6,Cloud AI Solutions
AI00065,Data Engineer,64129,EN,CT,South Korea,L,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,7,Machine Intelligence Group
AI00066,AI Specialist,87938,SE,FT,Ireland,S,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,508,8,Machine Intelligence Group
AI00067,Autonomous Systems Engineer,71405,MI,FL,Israel,L,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,1153,9,Advanced Robotics
AI00068,Machine Learning Engineer,316182,EX,PT,Denmark,M,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025-02-23,2452,7,Digital Transformation LLC
AI00069,Machine Learning Researcher,72459,EN,PT,Germany,M,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,583,9,Quantum Computing Inc
AI00070,Principal Data Scientist,78338,MI,FT,France,L,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,548,8,Cognitive Computing
AI00071,NLP Engineer,51907,MI,FL,Israel,M,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,8,Neural Networks Co
AI00072,Autonomous Systems Engineer,122831,SE,FL,France,S,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,761,8,Algorithmic Solutions
AI00073,Machine Learning Researcher,124820,MI,FL,Norway,S,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,2077,9,Cognitive Computing
AI00074,Autonomous Systems Engineer,134200,SE,PT,United Kingdom,S,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,2396,7,Machine Intelligence Group
AI00075,Data Engineer,51920,EN,PT,Sweden,S,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,1778,7,Digital Transformation LLC
AI00076,Data Engineer,56427,EN,FL,Singapore,M,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,1366,5,DeepTech Ventures
AI00077,AI Product Manager,213783,EX,FT,Canada,S,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,2383,9,Quantum Computing Inc
AI00078,ML Ops Engineer,59728,MI,FL,Israel,M,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7,DataVision Ltd
AI00079,Computer Vision Engineer,119432,SE,CT,India,L,India,0,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,1008,6,Autonomous Tech
AI00080,AI Research Scientist,284486,EX,CT,United States,M,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025-03-10,2231,7,TechCorp Inc
AI00081,Data Analyst,157597,EX,CT,France,L,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,8,Neural Networks Co
AI00082,ML Ops Engineer,196942,EX,CT,Australia,L,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,826,7,TechCorp Inc
AI00083,Machine Learning Researcher,207548,EX,CT,Canada,M,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,2292,6,Cognitive Computing
AI00084,NLP Engineer,68838,MI,FL,Sweden,S,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,804,7,TechCorp Inc
AI00085,ML Ops Engineer,125666,EX,FL,Finland,L,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,757,8,TechCorp Inc
AI00086,NLP Engineer,73174,EN,FT,Denmark,M,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,678,6,Machine Intelligence Group
AI00087,Autonomous Systems Engineer,33314,EN,CT,Israel,S,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,8,Future Systems
AI00088,AI Specialist,69914,EN,FT,United States,S,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,1517,7,Smart Analytics
AI00089,Principal Data Scientist,152118,EX,FL,France,M,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,1294,6,AI Innovations
AI00090,AI Software Engineer,78014,EN,CT,France,L,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,841,6,Digital Transformation LLC
AI00091,Research Scientist,48466,EN,PT,Canada,S,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,5,Predictive Systems
AI00092,Data Analyst,97997,SE,CT,France,S,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024-07-16,2419,6,Algorithmic Solutions
AI00093,Principal Data Scientist,128341,SE,FL,Singapore,S,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,2457,6,Neural Networks Co
AI00094,AI Research Scientist,111528,MI,FL,United States,L,United States,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024-05-08,1299,9,Predictive Systems
AI00095,Machine Learning Researcher,138945,EX,PT,Canada,S,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,1559,8,DeepTech Ventures
AI00096,NLP Engineer,98688,SE,FT,Israel,M,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,8,Cognitive Computing
AI00097,Data Analyst,109029,SE,FT,France,S,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,2049,6,Predictive Systems
AI00098,NLP Engineer,84797,MI,FT,Canada,M,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,1909,6,Machine Intelligence Group
AI00099,Machine Learning Researcher,290199,EX,CT,Switzerland,L,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025-03-07,1137,5,Smart Analytics
AI00100,AI Research Scientist,195691,SE,CT,United States,L,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,916,8,Advanced Robotics
AI00101,AI Product Manager,193448,SE,FT,Norway,L,Norway,100,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,579,6,Cognitive Computing
AI00102,AI Product Manager,138466,EX,PT,Israel,L,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,1690,9,Smart Analytics
AI00103,Data Analyst,91577,MI,CT,Netherlands,M,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024-02-28,859,6,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875,MI,FT,Sweden,S,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024-09-27,701,5,Digital Transformation LLC
AI00105,Data Engineer,213287,EX,FT,United Kingdom,S,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025-04-03,1102,6,Cloud AI Solutions
AI00106,NLP Engineer,62171,MI,FT,Japan,S,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024-11-07,2162,8,AI Innovations
AI00107,AI Research Scientist,152658,EX,FL,South Korea,L,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024-03-17,548,9,TechCorp Inc
AI00108,ML Ops Engineer,95085,MI,FT,Norway,M,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024-04-20,2298,6,Predictive Systems
AI00109,Deep Learning Engineer,86750,MI,FL,France,S,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2025-02-24,1397,7,AI Innovations
AI00110,AI Specialist,64261,MI,PT,Israel,M,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024-10-10,2385,8,TechCorp Inc
AI00111,Machine Learning Researcher,205357,EX,PT,United States,S,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-03-08,2024-05-13,1646,6,Predictive Systems
AI00112,AI Architect,165676,EX,CT,France,S,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024-06-25,926,7,Neural Networks Co
AI00113,Computer Vision Engineer,114658,SE,CT,France,M,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,1560,8,Algorithmic Solutions
AI00114,Data Scientist,143149,SE,FL,France,L,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024-05-10,1169,9,Digital Transformation LLC
AI00115,Machine Learning Researcher,116276,SE,FL,Germany,S,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,2024-09-06,608,7,Future Systems
AI00116,NLP Engineer,61055,EN,FL,United States,M,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-06-04,2024-07-16,1891,6,Autonomous Tech
AI00117,ML Ops Engineer,50303,EN,FT,Austria,L,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-08-11,2024-10-02,2015,7,DataVision Ltd
AI00118,Data Analyst,65570,SE,FL,Ireland,S,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,2024-11-06,635,9,Smart Analytics
AI00119,AI Software Engineer,231078,EX,FL,Singapore,M,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,2024-06-03,784,7,Neural Networks Co
AI00120,AI Product Manager,106633,SE,FT,Australia,M,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,2024-06-25,1243,5,Algorithmic Solutions
AI00121,AI Specialist,121180,SE,FL,Austria,L,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,2025-01-06,2025-02-01,611,7,Quantum Computing Inc
AI00122,Principal Data Scientist,64531,EN,PT,China,L,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,2025-03-26,2025-04-13,1645,7,Smart Analytics
AI00123,Machine Learning Engineer,125654,MI,CT,Singapore,L,Singapore,50,"Python, Tableau, Java",PhD,4,Automotive,2024-06-20,2024-08-25,1212,6,DataVision Ltd
AI00124,Machine Learning Researcher,182275,EX,FT,Austria,L,Austria,0,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,2025-04-19,2025-05-14,2427,9,DeepTech Ventures
AI00125,Machine Learning Researcher,117708,MI,FL,Denmark,L,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,2024-02-24,2024-03-17,1912,9,Neural Networks Co
AI00126,Data Engineer,143246,EX,FT,South Korea,S,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,2024-12-25,2025-01-24,1426,8,Future Systems
AI00127,AI Product Manager,203198,SE,FT,Denmark,L,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,2024-12-04,2025-01-11,1596,7,DeepTech Ventures
AI00128,Research Scientist,69487,EN,CT,Switzerland,S,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,2024-11-04,2024-12-02,1825,7,Machine Intelligence Group
AI00129,AI Product Manager,95673,EX,FL,Ireland,S,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,2024-08-24,2024-09-15,1467,8,Neural Networks Co
AI00130,AI Software Engineer,59405,EN,FL,Austria,L,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,2025-03-18,2025-04-12,984,6,Smart Analytics
AI00131,AI Specialist,131756,SE,PT,Netherlands,M,Finland,0,"AWS, R, Spark",PhD,5,Technology,2024-08-03,2024-10-15,2308,7,AI Innovations
AI00132,AI Software Engineer,42835,EN,PT,South Korea,L,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,2025-03-02,2025-03-30,539,9,Machine Intelligence Group
AI00133,Autonomous Systems Engineer,61893,EN,FT,Canada,M,Canada,50,"Statistics, Python, SQL",Associate,1,Consulting,2024-03-28,2024-05-01,1419,5,Predictive Systems
AI00134,ML Ops Engineer,141791,EX,CT,France,M,France,0,"Hadoop, Azure, Python, R",PhD,13,Media,2025-02-03,2025-02-23,2136,5,Algorithmic Solutions
AI00135,AI Product Manager,258637,EX,PT,United Kingdom,M,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,2025-01-16,2025-02-15,813,9,Cognitive Computing
AI00136,NLP Engineer,49485,MI,FT,Finland,S,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,Technology,2024-08-09,2024-09-16,909,7,Cloud AI Solutions
AI00137,Robotics Engineer,172916,SE,PT,Norway,S,India,100,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,Manufacturing,2024-12-29,2025-01-15,1630,7,Smart Analytics
AI00138,Machine Learning Engineer,324557,EX,FT,Denmark,L,Denmark,100,"Hadoop, Python, Git, TensorFlow",PhD,11,Telecommunications,2024-11-06,2024-11-24,1209,7,Machine Intelligence Group
AI00139,AI Consultant,73894,MI,CT,France,M,France,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",Bachelor,4,Consulting,2024-08-08,2024-09-12,1070,5,Digital Transformation LLC
AI00140,Principal Data Scientist,122598,SE,FT,Sweden,S,India,50,"Linux, AWS, Computer Vision, Deep Learning",Associate,9,Media,2025-01-05,2025-02-13,1181,5,Digital Transformation LLC
AI00141,Data Scientist,94478,MI,FL,Denmark,S,Denmark,100,"PyTorch, TensorFlow, Hadoop, Python",PhD,4,Retail,2024-05-24,2024-06-25,506,8,Algorithmic Solutions
AI00142,Autonomous Systems Engineer,53088,EN,PT,Austria,M,Austria,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",PhD,1,Finance,2025-04-12,2025-06-13,2090,9,Machine Intelligence Group
AI00143,Machine Learning Researcher,116012,MI,FT,Denmark,M,Australia,0,"SQL, MLOps, Python",Master,3,Automotive,2024-09-23,2024-10-30,657,7,Predictive Systems
AI00144,Deep Learning Engineer,35593,EN,CT,China,S,China,0,"Python, Hadoop, Deep Learning",Bachelor,0,Media,2024-03-09,2024-04-07,1812,6,AI Innovations
AI00145,AI Product Manager,149053,EX,FT,Austria,S,Austria,0,"GCP, Linux, R, Hadoop",Master,17,Media,2024-11-17,2024-12-26,652,5,Smart Analytics
AI00146,Principal Data Scientist,88230,MI,FT,Austria,L,Austria,0,"TensorFlow, Git, Azure, Python",Associate,4,Education,2024-05-22,2024-07-27,1984,7,DeepTech Ventures
AI00147,AI Research Scientist,224919,EX,FL,Australia,M,Switzerland,100,"Kubernetes, Deep Learning, PyTorch",Associate,19,Education,2024-12-02,2025-01-24,911,5,TechCorp Inc
